P,land,soil,ET,I,R
3,barren_land,3,0.15773399999999999,1.1760863056851363,1.6661796943148635
3,deciduous_forest,0,0.52578,2.47422,0.0
3,deciduous_forest,1,0.52578,2.47422,0.0
3,deciduous_forest,2,0.52578,2.4163910939134072,0.057828906086592656
3,deciduous_forest,3,0.52578,2.231861732801822,0.2423582671981778
3,shrub,0,0.473202,2.526798,0.0
3,shrub,1,0.473202,2.526798,0.0
3,shrub,2,0.473202,2.4689690939134072,0.057828906086592656
3,shrub,3,0.473202,2.2844397328018218,0.2423582671981778
3,grassland,0,0.5678424000000001,2.4321576,0.0
3,grassland,1,0.5678424000000001,2.4321576,0.0
3,grassland,2,0.5678424000000001,2.3564251557758977,0.07573244422410201
3,grassland,3,0.5678424000000001,2.150864253775372,0.2812933462246276
3,pasture,0,0.49949099999999996,2.5005089999999996,0.0
3,pasture,1,0.49949099999999996,2.5005089999999996,0.0
3,pasture,2,0.49949099999999996,2.354884531304841,0.14562446869515835
3,pasture,3,0.49949099999999996,2.130100584158416,0.370408415841584
3,cultivated_crops,0,0.6046469999999999,2.3762948829027106,0.01905811709728921
3,cultivated_crops,1,0.6046469999999999,2.114059653775372,0.2812933462246276
3,cultivated_crops,2,0.6046469999999999,1.7234861567996977,0.671866843200302
3,cultivated_crops,3,0.6046469999999999,1.374385240035111,1.0209677599648888
3,woody_wetlands,0,0.6309359999999999,2.369064,0.0
3,woody_wetlands,1,0.6309359999999999,2.369064,0.0
3,woody_wetlands,2,0.6309359999999999,2.369064,0.0
3,woody_wetlands,3,0.6309359999999999,2.369064,0.0
5,open_water,0,0.34307144999999994,0.0,4.656928550000001
5,open_water,1,0.34307144999999994,0.0,4.656928550000001
5,open_water,2,0.34307144999999994,0.0,4.656928550000001
5,open_water,3,0.34307144999999994,0.0,4.656928550000001
5,developed_open,0,0.49949099999999996,3.6980168740157486,0.8024921259842519
5,developed_open,1,0.49949099999999996,2.9863397086614176,1.5141692913385827
